datum,Batterieelektrisch
2017-01-01,0.55
2017-02-01,0.63
2017-03-01,0.61
2017-04-01,0.49
2017-05-01,0.47
2017-06-01,0.67
2017-07-01,0.64
2017-08-01,0.86
2017-09-01,0.78
2017-10-01,0.8
2017-11-01,1.0
2017-12-01,1.34
2018-01-01,1.03
2018-02-01,0.97
2018-03-01,1.09
2018-04-01,1.01
2018-05-01,0.76
2018-06-01,0.78
2018-07-01,0.79
2018-08-01,0.78
2018-09-01,1.18
2018-10-01,1.34
2018-11-01,1.56
2018-12-01,1.62
2019-01-01,1.75
2019-02-01,1.72
2019-03-01,1.91
2019-04-01,1.53
2019-05-01,1.39
2019-06-01,1.77
2019-07-01,1.79
2019-08-01,1.59
2019-09-01,2.4
2019-10-01,1.75
2019-11-01,1.55
2019-12-01,2.03
2020-01-01,3.04
2020-02-01,3.4
2020-03-01,4.8
2020-04-01,3.84
2020-05-01,3.32
2020-06-01,3.69
2020-07-01,5.33
2020-08-01,6.4
2020-09-01,7.99
2020-10-01,8.44
2020-11-01,9.98
2020-12-01,14.02
2021-01-01,9.61
2021-02-01,9.4
2021-03-01,10.3
2021-04-01,10.37
2021-05-01,11.61
2021-06-01,12.19
2021-07-01,10.77
2021-08-01,14.93
2021-09-01,17.09
2021-10-01,17.1
2021-11-01,20.31
2021-12-01,21.28
2022-01-01,11.35
2022-02-01,14.12
2022-03-01,14.29
2022-04-01,12.3
2022-05-01,14.08
2022-06-01,14.35
2022-07-01,13.99
2022-08-01,16.07
2022-09-01,19.74
